date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-05-15,NY,39291,1338048,2762,345813.0,134,22304.0
2020-05-15,PA,8637,319832,986,60622.0,124,4342.0
2020-05-15,TX,22317,609630,1347,45198.0,56,1272.0
2020-05-16,CA,45220,1179126,1857,76793.0,96,3204.0
2020-05-16,FL,21210,630047,1601,44811.0,49,2040.0
2020-05-16,NY,40669,1378717,2419,348232.0,174,22478.0
2020-05-16,PA,8004,327836,989,61611.0,61,4403.0
2020-05-16,TX,29109,638739,1801,46999.0,33,1305.0
2020-05-17,CA,56117,1235243,2046,78839.0,57,3261.0
2020-05-17,FL,21745,651792,777,45588.0,9,2049.0
2020-05-17,NY,34679,1413396,1889,350121.0,141,22619.0
2020-05-17,PA,5068,332904,623,62234.0,15,4418.0
2020-05-17,TX,11616,650355,785,47784.0,31,1336.0
2020-05-18,CA,57429,1292672,1591,80430.0,41,3302.0
2020-05-18,FL,24620,676412,854,46442.0,24,2073.0
2020-05-18,NY,26161,1439557,1250,351371.0,110,22729.0
2020-05-18,PA,7705,340609,822,63056.0,87,4505.0
2020-05-18,TX,29490,679845,909,48693.0,11,1347.0
2020-05-19,CA,46644,1339316,1365,81795.0,32,3334.0
2020-05-19,FL,39443,715855,502,46944.0,56,2129.0
2020-05-19,NY,28182,1467739,1474,352845.0,114,22843.0
2020-05-19,PA,9091,349700,610,63666.0,119,4624.0
2020-05-19,TX,20301,700146,1219,49912.0,22,1369.0
2020-05-20,CA,40804,1380120,2262,84057.0,102,3436.0
2020-05-20,FL,55493,771348,527,47471.0,44,2173.0
2020-05-20,NY,38097,1505836,1525,354370.0,133,22976.0
2020-05-20,PA,0,349700,0,63666.0,0,4624.0
2020-05-20,TX,20782,720928,1411,51323.0,50,1419.0
2020-05-21,CA,41007,1421127,2140,86197.0,106,3542.0
2020-05-21,FL,42581,813929,1204,48675.0,49,2222.0
2020-05-21,NY,49219,1555055,2088,356458.0,107,23083.0
2020-05-21,PA,19206,368906,1726,65392.0,245,4869.0
2020-05-21,TX,19253,740181,945,52268.0,21,1440.0
2020-05-22,CA,45646,1466773,2247,88444.0,88,3630.0
2020-05-22,FL,21567,835496,776,49451.0,46,2268.0
2020-05-22,NY,45738,1600793,1696,358154.0,112,23195.0
2020-05-22,PA,10095,379001,866,66258.0,115,4984.0
2020-05-22,TX,1181,741362,1181,53449.0,40,1480.0
2020-05-23,CA,48533,1515306,2187,90631.0,78,3708.0
2020-05-23,FL,20941,856437,676,50127.0,44,2312.0
2020-05-23,NY,51268,1652061,1772,359926.0,87,23282.0
2020-05-23,PA,9451,388452,725,66983.0,112,5096.0
2020-05-23,TX,21344,762706,1060,54509.0,26,1506.0
2020-05-24,CA,67439,1582745,2079,92710.0,66,3774.0
2020-05-24,FL,14798,871235,740,50867.0,4,2316.0
2020-05-24,NY,47765,1699826,1589,361515.0,109,23391.0
2020-05-24,PA,7643,396095,730,67713.0,28,5124.0
2020-05-24,TX,839,763545,839,55348.0,0,1506.0
2020-05-25,CA,61357,1644102,1848,94558.0,21,3795.0
2020-05-25,FL,37000,908235,879,51746.0,15,2331.0
2020-05-25,NY,39623,1739449,1249,362764.0,97,23488.0
2020-05-25,PA,7019,403114,473,68186.0,15,5139.0
2020-05-25,TX,42109,805654,623,55971.0,21,1527.0
2020-05-26,CA,52294,1696396,2175,96733.0,19,3814.0
2020-05-26,FL,14989,923224,509,52255.0,7,2338.0
2020-05-26,NY,34679,1774128,1072,363836.0,76,23564.0
2020-05-26,PA,5358,408472,451,68637.0,13,5152.0
2020-05-26,TX,15579,821233,589,56560.0,9,1536.0
2020-05-27,CA,40498,1736894,2247,98980.0,70,3884.0
2020-05-27,FL,10347,933571,379,52634.0,62,2400.0
2020-05-27,NY,37416,1811544,1129,364965.0,79,23643.0
2020-05-27,PA,10935,419407,780,69417.0,113,5265.0
2020-05-27,TX,34441,855674,1361,57921.0,26,1562.0
2020-05-28,CA,53665,1790559,2717,101697.0,89,3973.0
2020-05-28,FL,18045,951616,651,53285.0,46,2446.0
2020-05-28,NY,65245,1876789,1768,366733.0,79,23722.0
2020-05-28,PA,8439,427846,625,70042.0,108,5373.0
2020-05-28,TX,17544,873218,1855,59776.0,39,1601.0
2020-05-29,CA,44919,1835478,2189,103886.0,95,4068.0
2020-05-29,FL,31623,983239,1212,54497.0,49,2495.0
2020-05-29,NY,67341,1944130,1551,368284.0,58,23780.0
2020-05-29,PA,10463,438309,1297,71339.0,91,5464.0
2020-05-29,TX,20057,893275,1230,61006.0,25,1626.0
2020-05-30,CA,53117,1888595,2992,106878.0,88,4156.0
2020-05-30,FL,11729,994968,927,55424.0,35,2530.0
2020-05-30,NY,61251,2005381,1376,369660.0,68,23848.0
2020-05-30,PA,9463,447772,692,72031.0,73,5537.0
2020-05-30,TX,35242,928517,1332,62338.0,0,1626.0
2020-05-31,CA,56253,1944848,3705,110583.0,57,4213.0
2020-05-31,FL,26381,1021349,739,56163.0,4,2534.0
2020-05-31,NY,58444,2063825,1110,370770.0,57,23905.0
2020-05-31,PA,7885,455657,515,72546.0,18,5555.0
2020-05-31,TX,23348,951865,1949,64287.0,46,1672.0
2020-06-01,CA,67735,2012583,2423,113006.0,38,4251.0
2020-06-01,FL,19051,1040400,667,56830.0,9,2543.0
2020-06-01,NY,49952,2113777,941,371711.0,54,23959.0
2020-06-01,PA,6672,462329,352,72898.0,12,5567.0
2020-06-01,TX,18166,970031,593,64880.0,6,1678.0
2020-06-02,CA,59008,2071591,2304,115310.0,35,4286.0
2020-06-02,FL,9352,1049752,617,57447.0,70,2613.0
2020-06-02,NY,54054,2167831,1329,373040.0,64,24023.0
2020-06-02,PA,10542,472871,612,73510.0,100,5667.0
2020-06-02,TX,16193,986224,1688,66568.0,20,1698.0
2020-06-03,CA,59703,2131294,2377,117687.0,75,4361.0
2020-06-03,FL,31161,1080913,1317,58764.0,37,2650.0
2020-06-03,NY,61642,2229473,1045,374085.0,56,24079.0
2020-06-03,PA,2520,475391,512,74022.0,74,5741.0
2020-06-03,TX,20544,1006768,1703,68271.0,36,1734.0
2020-06-04,CA,51377,2182671,2120,119807.0,61,4422.0
2020-06-04,FL,26130,1107043,1419,60183.0,41,2691.0
2020-06-04,NY,63559,2293032,1048,375133.0,54,24133.0
2020-06-04,PA,16111,491502,538,74560.0,76,5817.0
2020-06-04,TX,31787,1038555,1649,69920.0,33,1767.0
2020-06-05,CA,55792,2238463,3094,122901.0,63,4485.0
2020-06-05,FL,27897,1134940,1305,61488.0,54,2745.0
2020-06-05,NY,66480,2359512,1075,376208.0,42,24175.0
2020-06-05,PA,7704,499206,445,75005.0,69,5886.0
2020-06-05,TX,23021,1061576,1693,71613.0,21,1788.0
